id,employee_id,start_date,end_date,leave_type,status,reason
eb869185-ce84-498c-81e2-7df26ce7892a,emp-demo-youssef,2026-06-11,2026-06-18,Congés Payés,En attente,Voyage
6ac2e4cc-e4b2-452a-835e-29af95369fbd,emp-demo-youssef,2026-06-02,2026-06-12,Autres,Approuvé,Formation externe
f9680c9f-15e4-4a78-838d-70a11380f280,emp-demo-fatima,2025-12-28,2026-01-02,Maladie,Approuvé,Consultation médicale
1ba484aa-4ce2-45da-9929-b6401bdec273,emp-demo-fatima,2025-11-08,2025-11-11,Congés Payés,Approuvé,Vacances
46efc3d6-e295-4c2f-bac8-bdfa87e6a95a,emp-demo-fatima,2025-12-17,2025-12-19,Congés Payés,Approuvé,Vacances
c6768671-ec1f-4256-901f-fc7fd8d5f516,emp-demo-fatima,2025-11-26,2025-11-29,Congés Payés,Approuvé,Vacances familiales
40c32218-8285-473f-8b85-f41888ef8444,emp-demo-fatima,2025-11-08,2025-11-13,Congés Payés,Approuvé,Voyage
2f7af6f5-7fc7-4612-a267-d41c4c1ee317,emp-demo-fatima,2026-04-29,2026-05-04,Congés Payés,Approuvé,Voyage
aa9ecc39-0917-4bd0-b51d-d03432dd79ca,emp-demo-fatima,2026-05-20,2026-05-22,Congés Payés,Approuvé,Repos
1fb58882-9974-4868-89f4-33d0e9a3be9e,emp-demo-fatima,2026-03-06,2026-03-09,Congés Payés,Rejeté,Voyage
8a2a376b-6c06-4009-a8df-cec6c3adf91d,emp-demo-karim,2024-11-14,2024-11-17,Congés Payés,Approuvé,Vacances
7d05ce06-18a7-4087-beff-d8f74edebfa9,emp-demo-karim,2024-10-07,2024-10-08,Autres,Approuvé,Formation externe
0cdd6f94-b637-4298-9755-b3392eeebcd5,emp-demo-karim,2024-11-04,2024-11-11,Raisons personnelles,Approuvé,Raisons personnelles
a759f2c4-4cb1-4310-bd29-0cd584e6ade9,emp-demo-karim,2024-09-30,2024-10-05,Maladie,Approuvé,Repos médical
1de96aea-127f-45b3-812f-b272bf5b7f47,emp-demo-karim,2024-12-26,2024-12-31,Congés Payés,Approuvé,Vacances
6ae87d02-e2e5-4851-beb7-e4439c01f63c,emp-demo-karim,2025-03-09,2025-03-10,Congés Payés,Approuvé,Vacances familiales
75007837-7d86-48b9-8121-e74f13703842,emp-demo-karim,2025-10-04,2025-10-14,Congés Payés,Approuvé,Repos
8177b0ad-0dd5-4537-a5c9-0ce029b3438a,emp-demo-karim,2025-09-04,2025-09-18,Congés Payés,Approuvé,Vacances
cfd65539-e901-4cdc-9e61-322c758150ed,emp-demo-karim,2025-03-14,2025-03-21,Congés Payés,Approuvé,Voyage
67c0a9e7-3d28-4486-b67b-f329a2559d01,emp-demo-karim,2025-02-16,2025-02-23,Congés Payés,Approuvé,Voyage
01186450-0d0e-45bf-9374-db49e6a17eac,emp-demo-karim,2025-12-11,2025-12-13,Congés Payés,Approuvé,Repos
7d26339e-6f4a-4891-bb53-4bb8f46337c7,emp-demo-karim,2025-04-30,2025-05-03,Maladie,Rejeté,Repos médical
c21618f4-bdcc-4d2f-9024-94aa972d9f7b,emp-demo-karim,2026-01-17,2026-01-22,Congés Payés,Approuvé,Voyage
f32d8293-4971-4bda-ab45-014a058d410a,emp-demo-karim,2026-01-12,2026-01-22,Congés Payés,Approuvé,Vacances
bc95e4eb-d448-47f6-89c5-c95c6077e992,emp-demo-karim,2026-02-04,2026-02-07,Congés Payés,Rejeté,Voyage
2e877bda-c580-420e-acce-df95dbd57698,emp-demo-karim,2026-02-09,2026-02-19,Maladie,Approuvé,Grippe
