id,employee_id,contract_type,start_date,end_date,salary,is_active
4f12138c-8fd8-43d5-9398-a81474039060,emp-1,CDI,2019-02-20T00:00:00,,71753,true
cdec2d01-4aa5-46bd-93c2-b18c110109b9,emp-2,CDI,2018-08-13T00:00:00,,45031,false
7f14f7e8-04c1-4654-90ca-c41d7b092a4d,emp-3,CDI,2023-01-28T00:00:00,,52338,false
06af3f4c-bcf9-4dc9-9ac7-6be20cd85b4a,emp-4,CDI,2020-10-07T00:00:00,,86897,true
7e761842-ed8f-426f-b8f6-d481017acbf1,emp-5,CDI,2021-03-01T00:00:00,,89275,true
5811f3ce-10ea-4ee7-87cf-5f279a3b75c4,emp-6,CDD,2018-08-02T00:00:00,2019-07-07T00:00:00,40394,false
a59c07a3-7b41-4029-a4d5-e0c14ab6fb0d,emp-6,CDI,2019-07-08T00:00:00,,42804,true
b9feb6f3-d1ff-4d33-b1f5-283d47913d78,emp-7,CDI,2019-05-15T00:00:00,,66787,false
239c7889-f0bf-4fa0-9c3b-245eaa5ed8a4,emp-8,CDI,2019-11-04T00:00:00,,52274,true
db1a5002-d3a4-48b9-9ad0-7da2df38cc51,emp-9,CDI,2026-03-03T00:00:00,,69008,true
036c9b47-b890-482e-b36e-4cbe08daef0f,emp-10,CDD,2017-09-04T00:00:00,2018-08-24T00:00:00,44655,false
37525496-33b7-43de-a49f-6f0633a705e9,emp-10,CDI,2018-08-25T00:00:00,,88207,true
ce115249-ba1a-41ec-89bc-cfd135a4692d,emp-11,CDD,2018-02-24T00:00:00,2018-09-30T00:00:00,44607,false
ddd7cd0d-d513-439d-92f6-2ea9e79129f4,emp-11,CDI,2018-10-01T00:00:00,,60087,false
51f5f561-ff80-43ac-84ea-3fbad9cf2571,emp-12,CDI,2022-09-19T00:00:00,,43037,false
dc435e8f-3783-401b-b5d8-f5d803001368,emp-13,CDD,2020-06-30T00:00:00,2021-01-14T00:00:00,35970,false
0324a556-e5f5-4763-9a0f-c81a32dd253c,emp-13,CDI,2021-01-15T00:00:00,,73764,true
a9400afd-02d8-4a1b-8853-e9e3e5b5ce5c,emp-14,CDI,2021-12-30T00:00:00,,69578,true
ab3b63b1-743f-42ea-94f3-16ae8ce050bc,emp-15,CDI,2017-01-26T00:00:00,,75103,true
a405ce3d-bb28-4822-b995-8b1103617126,emp-16,CDD,2018-06-28T00:00:00,2019-05-31T00:00:00,39811,false
4479dd27-58cb-47d1-a0fb-50ce2347e74b,emp-16,CDI,2019-06-01T00:00:00,,61096,false
7af85954-63a5-40b5-8622-ab9e7e8ced74,emp-17,CDI,2016-11-12T00:00:00,,45881,true
7b989be0-aa73-4a8e-ad6b-dcd8644d666f,emp-18,CDD,2017-04-02T00:00:00,2018-01-09T00:00:00,39607,false
e6a1d089-b14a-4b13-96be-92b8e005d535,emp-18,CDI,2018-01-10T00:00:00,,61996,true
1d59ffef-3b59-4c43-81c0-7a60ad35309d,emp-19,CDI,2022-08-16T00:00:00,,87930,true
6415a55d-f1db-4616-b182-603ef6adbb11,emp-20,CDI,2024-04-10T00:00:00,,67389,true
bbffcf82-7101-481e-b85e-94ffc3dc4123,emp-21,CDI,2018-06-04T00:00:00,,67206,true
